strategy,ratio,fold,item_r,item_r_ci_lower,item_r_ci_upper,item_mae,item_rmse,item_rounded_accuracy,trait_r_O,trait_r_C,trait_r_E,trait_r_A,trait_r_N,trait_r_mean,profile_r,coverage,redundancy,trait_max_dev,dir_imbalance,fwd_ratio,trait_count_O,trait_count_C,trait_count_E,trait_count_A,trait_count_N,selected_S
Hybrid-B,90,0,0.30668512860316155,0.28025356375786326,0.33311669344845984,0.9394545454545455,1.1886159465977504,0.3089090909090909,0.9863926901402175,0.9951241932052253,0.9964104495720196,0.9842866221155686,0.997962198989458,0.9920352308044977,0.9918943522437708,0.9876952270523873,0.6239652625600496,1.0,0.0222222222222222,0.4777777777777778,17,18,19,17,19,"1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,21,22,23,25,26,27,28,29,30,31,32,33,34,36,37,38,39,40,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,77,78,79,81,82,83,85,86,87,88,89,90,91,92,93,94,95,96,97,99"
Hybrid-C,90,0,0.32537494901270425,0.3001847329070844,0.3505651651183241,0.9329090909090909,1.1890754582658876,0.3181818181818182,0.9972936318456475,0.9920138710168318,0.9964104495720196,0.9836938890605644,0.9949941721062817,0.992881202720269,0.9923647527062863,0.9899006978514183,0.6241188155826208,1.0,0.0,0.5,19,17,19,17,18,"0,1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,19,20,21,22,23,25,26,27,28,29,30,31,32,33,34,36,38,39,40,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,77,78,79,81,82,83,85,86,87,88,89,90,91,92,93,94,95,96,97,99"
TraitPredictiveness,10,1,0.05210502771187015,0.041341221277231235,0.06286883414650907,1.1151313131313132,1.4106642342914675,0.2646262626262626,0.09064271940017532,0.7404738138666094,0.8881458744025307,0.21939983813777367,-0.18560768428519392,0.350610912304379,0.4544483707093314,,,4.0,0.30000000000000004,0.8,0,3,6,0,1,"9,42,57,64,68,72,79,82,92,94"
Hybrid-A,10,1,0.06182255086848253,0.05140731226362233,0.07223778947334274,1.0858787878787879,1.3490359090786725,0.2503434343434343,0.28429770646440466,0.6525875766721805,0.6593068168637186,0.05862344494381287,0.5806086311152744,0.44708483521187825,0.6050777797796294,0.8039758605297084,0.6362242335453165,2.0,0.0,0.5,1,3,3,0,3,"23,46,59,64,67,78,82,92,94,96"
Hybrid-B,10,1,0.07938749276362968,0.07014714673914746,0.0886278387881119,1.086808080808081,1.3457699621329986,0.24911111111111112,0.21114022260645973,0.4958248582966427,0.7228115100951737,-0.06795879858307555,0.6307433705185173,0.3985122325867435,0.6751879849304576,0.7981119096993602,0.6002483847209283,2.0,0.0,0.5,1,2,4,0,3,"39,42,66,73,77,78,82,92,94,96"
Hybrid-C,10,1,0.07648737807108377,0.06658755031846672,0.08638720582370082,1.0577171717171716,1.3434255528839525,0.2728282828282828,0.3228103717287353,0.6339340003875108,0.7226473689626634,0.33615827467818793,0.33610220473769764,0.47033044409895897,0.6162782378704603,0.796689909403152,0.5952886660936686,1.0,0.0,0.5,2,2,3,1,2,"31,39,42,60,66,73,77,78,82,94"
TraitPredictiveness,30,1,0.13436067127601067,0.12371735875775118,0.14500398379427018,1.0945454545454547,1.3818520318918803,0.26735064935064934,0.07608782469558589,0.8420309256356292,0.9612774170399259,0.41052098013172755,0.9300801645721287,0.6439994624149994,0.7072688897693278,,,6.0,0.16666666666666663,0.6666666666666666,0,7,11,2,10,"4,9,13,16,17,28,29,34,42,46,49,54,57,59,62,64,65,66,68,69,72,77,78,79,82,89,91,92,94,99"
Hybrid-A,30,1,0.20548297417337658,0.1942685026757976,0.21669744567095556,1.0154285714285713,1.2887800043754765,0.27958441558441566,0.6705029675501855,0.7985422037660308,0.950653550328092,0.5251642822329318,0.8736302641191064,0.7636986535992694,0.8722978146233163,0.876600529344424,0.6297426492041626,4.0,0.09999999999999998,0.6,4,5,10,3,8,"8,9,11,13,16,23,28,29,42,46,47,57,59,60,62,64,65,67,68,72,73,78,79,82,85,89,90,92,94,96"
Hybrid-B,30,1,0.22018175713350951,0.20788052881823582,0.2324829854487832,1.021012987012987,1.2727829176883374,0.26306493506493506,0.6823053333124397,0.8510333641587028,0.9408335862095997,0.5806820020905519,0.8621546701738655,0.783401791189032,0.8805799895360081,0.8748216907865684,0.6025630379645126,3.0,0.13333333333333336,0.36666666666666664,5,6,9,3,7,"4,6,7,8,9,13,28,31,36,39,42,43,49,60,62,66,67,68,73,77,78,79,82,83,86,87,91,92,94,96"
Hybrid-C,30,1,0.24489206884191111,0.2329934072040712,0.25679073047975104,0.997012987012987,1.247940124623017,0.27059740259740256,0.6658190131650491,0.885368601061505,0.8961026395405988,0.7859376942919593,0.8790975004737734,0.8224650897065772,0.8863413212219751,0.8753028851144926,0.6053487843101378,1.0,0.0,0.5,5,6,7,5,7,"4,5,6,8,11,14,28,31,39,42,49,50,60,62,65,66,67,68,73,77,78,79,82,83,86,87,91,92,94,96"
TraitPredictiveness,50,1,0.12726452491505277,0.11316482269339151,0.14136422713671404,1.1052727272727272,1.3698478130792253,0.2493454545454545,0.29446040533172985,0.9801248545503622,0.973548682261226,0.6372001273818931,0.9864231664183373,0.7743514471887096,0.8142867296974898,,,9.0,0.020000000000000018,0.52,1,15,14,4,16,"4,5,7,8,9,10,11,13,14,16,17,19,26,27,28,29,32,34,36,38,39,42,46,47,48,49,54,57,59,62,64,65,66,67,68,69,72,77,78,79,82,87,89,90,91,92,94,96,97,99"
Hybrid-A,50,1,0.2778511443791554,0.2642208086963821,0.29148148006192875,0.9724363636363639,1.2434387069579589,0.2947272727272727,0.7831209412105299,0.958166479740235,0.9715885927908593,0.8594972158527776,0.9654582809769674,0.9075663021142738,0.9322292415398934,0.9205032332813867,0.6297498954335963,4.0,0.0,0.5,6,12,12,8,12,"4,5,7,8,9,11,13,14,16,17,19,20,23,26,27,28,29,31,42,46,47,49,51,57,58,59,60,62,63,64,65,66,67,68,69,72,73,77,78,79,82,85,87,89,90,91,92,94,95,96"
Hybrid-B,50,1,0.2869187643454647,0.27391677106903584,0.2999207576218936,0.9677454545454547,1.2363099651699776,0.29458181818181817,0.8756186713731359,0.9458577844015619,0.9743724155503138,0.9049515082210706,0.9227901192821647,0.9247180997656494,0.9343444391339435,0.9237930598366115,0.6066281145458756,3.0,0.06,0.44,9,10,13,9,9,"3,4,5,6,7,8,9,13,14,17,19,22,28,31,36,39,42,43,49,50,51,53,54,57,60,62,65,66,67,68,69,71,72,73,77,78,79,81,82,83,86,87,88,89,90,91,92,94,95,96"
Hybrid-C,50,1,0.2737646032013886,0.2610678165950905,0.28646138980768676,0.9756727272727275,1.2466002774512759,0.2934545454545454,0.8710276760621204,0.957225440682128,0.9618390257227678,0.9040128020164577,0.9447613427627084,0.9277732574492366,0.9393182679120322,0.9217881767900583,0.6099587082303813,1.0,0.0,0.5,9,11,11,9,10,"3,4,5,6,7,8,9,11,13,14,17,19,28,29,31,39,42,43,49,50,51,53,54,57,60,62,64,65,66,67,68,69,71,72,73,77,78,79,82,83,85,86,87,89,90,91,92,94,95,96"
TraitPredictiveness,90,1,0.1829661816843261,0.15500570204534728,0.21092666132330493,0.9727272727272728,1.2107222667442818,0.28763636363636363,0.9028249691176135,0.9976692274393594,1.0,0.9942137972183537,0.9999999999999999,0.9789415987550653,0.986669891708236,,,6.0,0.033333333333333326,0.4666666666666667,12,19,20,19,20,"1,2,3,4,5,6,7,8,9,10,11,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,41,42,44,45,46,47,48,49,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,71,72,73,74,75,76,77,78,79,80,81,82,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99"
Hybrid-A,90,1,0.35160417285718776,0.3240032336648795,0.37920511204949603,0.9290909090909091,1.1661853306042047,0.30218181818181816,0.9674259699071982,0.9948360135226579,1.0,0.9902270507345771,0.9978996091011884,0.9900777286531243,0.9933485864570087,0.9876685180712184,0.6284141671054015,3.0,0.0222222222222222,0.4777777777777778,15,18,20,18,19,"0,1,2,3,4,5,6,7,8,9,10,11,13,14,16,17,18,19,20,21,22,23,25,26,27,28,29,31,32,34,36,37,38,39,40,41,42,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,77,78,79,81,82,83,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99"
Hybrid-B,90,1,0.3056900351502777,0.2782053605118197,0.3331747097887357,0.9510909090909089,1.1925885195293682,0.29927272727272725,0.9853084251868749,0.9949812748515033,0.9959121304434992,0.9814763113902913,0.9978996091011884,0.9911155501946715,0.9922122957830075,0.9876952270523873,0.6239652625600496,1.0,0.0222222222222222,0.4777777777777778,17,18,19,17,19,"1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,21,22,23,25,26,27,28,29,30,31,32,33,34,36,37,38,39,40,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,77,78,79,81,82,83,85,86,87,88,89,90,91,92,93,94,95,96,97,99"
Hybrid-C,90,1,0.37318438888239375,0.3463544878173027,0.4000142899474848,0.9321818181818182,1.1768493336160444,0.30927272727272725,0.9926403139120298,0.9945915860287525,0.9959121304434992,0.9813754779614899,0.9950218862451264,0.9919082789181795,0.9929117185724995,0.9885841576157246,0.6239330466445161,1.0,0.0,0.5,18,18,19,17,18,"1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,36,38,39,40,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,77,78,79,81,82,83,85,86,87,88,89,90,91,92,93,94,95,96,97,99"
TraitPredictiveness,10,2,0.044720812824827205,0.03414230750619486,0.05529931814345955,1.1196363636363635,1.4147376431870258,0.2614141414141414,0.06639674338543268,0.766217125397749,0.9068941226283458,0.2708787989555533,-0.2737250886766514,0.34733234033808585,0.43208761850055644,,,4.0,0.30000000000000004,0.8,0,3,6,0,1,"9,42,57,64,68,72,79,82,92,94"
Hybrid-A,10,2,0.06364314380753686,0.053019491720915954,0.07426679589415776,1.0771717171717172,1.3425185857740582,0.25307070707070706,0.22778857134992006,0.6684577612506318,0.6796044605356362,0.16823860331261767,0.5357083907209039,0.45595955743394195,0.590971012624648,0.8039758605297084,0.6362242335453165,2.0,0.0,0.5,1,3,3,0,3,"23,46,59,64,67,78,82,92,94,96"
Hybrid-B,10,2,0.062374289638943266,0.05253692408454245,0.07221165519334408,1.0807878787878786,1.3399617451419066,0.24856565656565657,0.23568741662677167,0.5669177982295788,0.7678362405769635,0.0008553254827292256,0.5524577343073037,0.4247509030446694,0.6681136303922925,0.7981119096993602,0.6002483847209283,2.0,0.0,0.5,1,2,4,0,3,"39,42,66,73,77,78,82,92,94,96"
Hybrid-C,10,2,0.07959147306192549,0.06963522028304181,0.08954772584080917,1.050141414141414,1.3361968306219698,0.2735757575757576,0.3858318391129802,0.6966451743936573,0.763792227750757,0.40168892825131,0.23122584797569945,0.49583680349688086,0.6262416821225509,0.796689909403152,0.5952886660936686,1.0,0.0,0.5,2,2,3,1,2,"31,39,42,60,66,73,77,78,82,94"
TraitPredictiveness,30,2,0.1056364116862942,0.09366595218454354,0.11760687118804486,1.1165974025974026,1.4049012767440032,0.260025974025974,0.00578015771407247,0.8978900138836364,0.9685728544219364,0.46984717859955716,0.8838056531452266,0.6451791715528857,0.6457685807040023,,,6.0,0.09999999999999998,0.6,0,8,11,2,9,"4,8,9,13,16,17,28,29,34,42,46,49,54,57,59,62,64,66,68,69,72,77,78,79,82,87,89,91,92,94"
Hybrid-A,30,2,0.1901066995257701,0.1788556579873556,0.20135774106418464,1.0024155844155844,1.278638512273732,0.28535064935064935,0.7101605962130811,0.8246301450773258,0.9571788940329354,0.7681592646166732,0.7768767510520318,0.8074011301984095,0.8724948612811745,0.8761958629947145,0.6275334872524633,4.0,0.06666666666666665,0.5666666666666667,4,5,10,4,7,"8,9,11,13,23,28,42,46,47,49,57,59,60,62,64,65,67,68,72,73,78,79,82,85,89,90,91,92,94,96"
Hybrid-B,30,2,0.2096031114374078,0.19885494125455774,0.22035128162025788,1.003194805194805,1.2625420834311407,0.2744935064935065,0.7039553631390663,0.8802172989880824,0.9531400086243792,0.7527258232373394,0.8067770969351173,0.8193631181847969,0.8919774325159557,0.8752982054088636,0.6028430223642819,3.0,0.09999999999999998,0.4,5,6,9,4,6,"4,6,7,8,9,13,28,31,36,39,42,43,49,60,62,66,67,68,73,77,78,79,82,83,87,91,92,94,95,96"
Hybrid-C,30,2,0.21596226103912927,0.2052237050708269,0.22670081700743164,1.0023896103896104,1.255324025140023,0.2712987012987013,0.7669268086288532,0.855714947809595,0.9111395324893539,0.8046449971696393,0.8671476018316616,0.8411147775858205,0.8960589049099493,0.8750786988946614,0.6021862874120129,1.0,0.033333333333333326,0.4666666666666667,6,5,7,5,7,"4,5,6,8,11,28,31,39,42,43,49,60,62,66,67,68,73,77,78,79,82,83,86,87,90,91,92,94,95,96"
TraitPredictiveness,50,2,0.09860017602618174,0.08484117821815436,0.11235917383420911,1.106981818181818,1.3755384898987442,0.2508,0.2353626972495008,0.9819967167855432,0.9783872074354608,0.5690314776045559,0.9909539362787354,0.7511464070707593,0.807738921272312,,,9.0,0.0,0.5,1,15,14,3,17,"4,7,8,9,10,11,13,14,16,17,19,26,27,28,29,32,34,36,38,39,42,46,47,48,49,54,57,59,62,64,65,66,67,68,69,72,77,78,79,82,86,87,89,90,91,92,94,96,97,99"
Hybrid-A,50,2,0.29334868661958263,0.280161197866779,0.30653617537238625,0.9457818181818183,1.2133079311972434,0.3008,0.7788040282864543,0.9675667763178815,0.9815205502414219,0.8933816377031587,0.9669544952909086,0.9176454975679651,0.9397673374543447,0.9218597702856822,0.6273249760885166,5.0,0.020000000000000018,0.48,5,12,13,8,12,"4,5,7,8,9,11,13,14,17,19,20,23,26,27,28,29,31,42,46,47,49,51,57,58,59,60,62,64,65,66,67,68,69,72,73,77,78,79,82,85,86,87,88,89,90,91,92,94,95,96"
Hybrid-B,50,2,0.2691292205148791,0.2573430701675228,0.2809153708622354,0.9708727272727273,1.2381828183511971,0.29261818181818183,0.8860958681708914,0.9637048910019743,0.9794339067613104,0.8947508689693603,0.9169256326224666,0.9281822335052006,0.9319383156898123,0.9228075748405119,0.6059366727606044,3.0,0.08000000000000002,0.42,9,11,13,8,9,"3,4,5,6,7,8,9,13,14,17,19,22,27,28,31,36,39,42,43,49,50,51,53,54,57,60,62,66,67,68,69,71,72,73,77,78,79,81,82,83,86,87,88,89,90,91,92,94,95,96"
Hybrid-C,50,2,0.29345596311087446,0.28114572803430127,0.30576619818744766,0.9522545454545455,1.2164047458637812,0.29760000000000003,0.839444351608708,0.9641358859964061,0.9740846114067652,0.9070450222305694,0.9592671210499483,0.9287953984584794,0.9419849214103463,0.9221038138502238,0.6104046987672395,2.0,0.0,0.5,8,11,12,8,11,"4,5,6,7,8,9,11,13,14,17,19,22,26,28,29,31,39,42,43,49,50,51,53,54,57,60,62,64,65,66,67,68,69,71,72,73,77,78,79,82,83,86,87,89,90,91,92,94,95,96"
TraitPredictiveness,90,2,0.1750337487368629,0.14594336284077875,0.20412413463294704,0.9943636363636366,1.2263372185573953,0.27381818181818185,0.91358395448616,0.9970575848985994,0.9999999999999999,0.9952632821817938,1.0,0.9811809643133106,0.9890321472477155,,,6.0,0.033333333333333326,0.4666666666666667,12,19,20,19,20,"1,2,3,4,5,6,7,8,9,10,11,13,14,16,17,18,19,21,22,23,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,41,42,44,45,46,47,48,49,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99"
Hybrid-A,90,2,0.3789020619357307,0.35322485307430895,0.4045792707971525,0.9021818181818183,1.1313713450861873,0.3016363636363636,0.9737886216214916,0.9944941169422503,0.9999999999999999,0.9908409386304217,0.997915748486504,0.9914078851361335,0.9937690670532757,0.9876685180712184,0.6284141671054015,3.0,0.0222222222222222,0.4777777777777778,15,18,20,18,19,"0,1,2,3,4,5,6,7,8,9,10,11,13,14,16,17,18,19,20,21,22,23,25,26,27,28,29,31,32,34,36,37,38,39,40,41,42,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,77,78,79,81,82,83,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99"
Hybrid-B,90,2,0.3151334700521281,0.2900797002150222,0.340187239889234,0.9212727272727272,1.174574965351411,0.3134545454545455,0.9886667509781912,0.9946895542923057,0.9962880434820138,0.9831565123699707,0.997915748486504,0.992143321921797,0.9919578202339802,0.9876952270523873,0.6239652625600496,1.0,0.0222222222222222,0.4777777777777778,17,18,19,17,19,"1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,21,22,23,25,26,27,28,29,30,31,32,33,34,36,37,38,39,40,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,77,78,79,81,82,83,85,86,87,88,89,90,91,92,93,94,95,96,97,99"
Hybrid-C,90,2,0.3038123077244827,0.2780832247838624,0.329541390665103,0.9452727272727275,1.193741571720544,0.3001818181818181,0.9933277597352977,0.9944941169422503,0.9962880434820138,0.9822503560471733,0.9953260351407526,0.9923372622694975,0.9923964055228711,0.9885916015810077,0.6238585895001488,1.0,0.011111111111111127,0.4888888888888889,18,18,19,17,18,"1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,19,20,21,22,23,25,26,27,28,29,30,31,32,33,34,36,37,38,39,40,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,77,78,79,81,82,83,85,86,87,88,89,90,91,92,93,94,95,96,97,99"
TraitPredictiveness,10,3,0.053512945197066876,0.04272082315224869,0.06430506724188506,1.1160606060606062,1.413090360183864,0.2662424242424242,0.13987193847455653,0.7543392954222653,0.8898196719739966,0.2514639117254105,-0.23107598283859604,0.3608837669515266,0.45134376619615835,,,4.0,0.30000000000000004,0.8,0,3,6,0,1,"9,42,57,64,68,72,79,82,92,94"
Hybrid-A,10,3,0.07334538063516964,0.06170111319857872,0.08498964807176056,1.07430303030303,1.3368399587343385,0.2551111111111111,0.31471135472314044,0.6977581096507991,0.7187815190142192,0.021671947959738654,0.4663906844161766,0.44386272315281483,0.5859788246362589,0.8030376180546898,0.6363355027131294,2.0,0.0,0.5,1,3,3,0,3,"23,46,59,64,67,68,82,92,94,96"
Hybrid-B,10,3,0.06846916992151879,0.05847652489426084,0.07846181494877673,1.0795757575757576,1.3442825595311958,0.2553333333333333,0.2729537631447551,0.5254012351866401,0.7662930257261611,-0.04888702764411935,0.5515346145645319,0.4134591221955938,0.6425784513088535,0.7981119096993602,0.6002483847209283,2.0,0.0,0.5,1,2,4,0,3,"39,42,66,73,77,78,82,92,94,96"
Hybrid-C,10,3,0.07475844421459467,0.06453267908747612,0.08498420934171322,1.051757575757576,1.3416518859085405,0.2776363636363636,0.42990190706582376,0.6809361527130509,0.7550122557079898,0.3541819106673955,0.25630973006282864,0.49526839124341765,0.6122817010173093,0.796689909403152,0.5952886660936686,1.0,0.0,0.5,2,2,3,1,2,"31,39,42,60,66,73,77,78,82,94"
TraitPredictiveness,30,3,0.0894445484562989,0.07835539785949892,0.10053369905309888,1.128051948051948,1.4156145154850865,0.2561298701298701,0.1226099840229321,0.8653843168945978,0.9620819198690708,0.2397811251108847,0.928490565349197,0.6236695822493366,0.6312148512544568,,,6.0,0.16666666666666663,0.6666666666666666,0,7,11,1,11,"4,9,11,13,16,17,28,29,34,42,46,49,54,57,59,62,64,66,68,69,72,77,78,79,82,89,91,92,94,99"
